1172 1172
1001 80 181223328.5000000000
1001 261 181223328.5000000000
1002 84 68114806.5000000000
1002 906 68114806.5000000000
1003 134 20729522.0000000000
1003 973 20729522.0000000000
1004 135 92630959.5000000000
1004 304 92630959.5000000000
1006 114 0.0000000000
1006 599 0.0000000000
1006 963 0.0000000000
1005 1006 298253831.0000000000
1005 227 298253831.0000000000
1005 278 298253831.0000000000
1005 415 298253831.0000000000
1005 465 298253831.0000000000
1005 720 298253831.0000000000
1007 244 97172225.5000000000
1007 351 97172225.5000000000
1008 29 297073033.5000000000
1009 273 0.0000000000
1009 322 0.0000000000
1008 1009 297073033.5000000000
1010 277 311725972.5000000000
1010 310 311725972.5000000000
1010 476 311725972.5000000000
1011 316 106480318.0000000000
1011 380 106480318.0000000000
1011 776 106480318.0000000000
1011 809 106480318.0000000000
1012 87 0.0000000000
1012 328 0.0000000000
1013 357 0.0000000000
1013 573 0.0000000000
1014 398 54720751.0000000000
1014 425 54720751.0000000000
1015 409 0.0000000000
1015 458 0.0000000000
1016 428 0.0000000000
1016 648 0.0000000000
1016 821 0.0000000000
1017 78 0.0000000000
1017 519 0.0000000000
1017 913 0.0000000000
1018 623 0.0000000000
1018 864 0.0000000000
1019 69 0.0000000000
1019 139 0.0000000000
1019 635 0.0000000000
1019 774 0.0000000000
1020 678 296645342.5000000000
1021 651 0.0000000000
1021 789 0.0000000000
1020 1021 296645342.5000000000
1022 6 315412464.5000000000
1022 7 315412464.5000000000
1022 9 315412464.5000000000
1022 10 315412464.5000000000
1023 11 0.0000000000
1023 403 0.0000000000
1022 1023 315412464.5000000000
1022 13 315412464.5000000000
1022 15 315412464.5000000000
1022 16 315412464.5000000000
1022 18 315412464.5000000000
1022 19 315412464.5000000000
1022 21 315412464.5000000000
1022 22 315412464.5000000000
1022 23 315412464.5000000000
1022 24 315412464.5000000000
1022 26 315412464.5000000000
1024 27 68712599.0000000000
1024 38 68712599.0000000000
1024 74 68712599.0000000000
1024 75 68712599.0000000000
1024 115 68712599.0000000000
1024 138 68712599.0000000000
1024 226 68712599.0000000000
1024 267 68712599.0000000000
1024 374 68712599.0000000000
1024 445 68712599.0000000000
1024 499 68712599.0000000000
1024 591 68712599.0000000000
1024 592 68712599.0000000000
1024 638 68712599.0000000000
1024 650 68712599.0000000000
1024 660 68712599.0000000000
1024 663 68712599.0000000000
1024 669 68712599.0000000000
1024 686 68712599.0000000000
1024 793 68712599.0000000000
1024 841 68712599.0000000000
1024 889 68712599.0000000000
1024 923 68712599.0000000000
1022 1024 246699865.5000000000
1022 28 315412464.5000000000
1022 31 315412464.5000000000
1022 32 315412464.5000000000
1025 33 0.0000000000
1025 842 0.0000000000
1022 1025 315412464.5000000000
1026 34 0.0000000000
1026 332 0.0000000000
1022 1026 315412464.5000000000
1027 36 0.0000000000
1027 557 0.0000000000
1027 907 0.0000000000
1022 1027 315412464.5000000000
1022 40 315412464.5000000000
1022 43 315412464.5000000000
1022 49 315412464.5000000000
