148 148
101 1 499007125.5000000000
102 25 274243988.5000000000
102 75 274243988.5000000000
101 102 224763137.0000000000
103 28 278990981.0000000000
103 58 278990981.0000000000
107 21 42141538.5000000000
107 29 42141538.5000000000
106 107 22703697.5000000000
106 85 64845236.0000000000
105 106 417644786.0000000000
108 35 389879510.5000000000
109 72 366444558.0000000000
109 82 366444558.0000000000
108 109 23434952.5000000000
105 108 92610511.5000000000
104 105 3986705.0000000000
104 40 486476727.0000000000
110 38 441425823.0000000000
110 48 441425823.0000000000
111 9 474045795.0000000000
112 39 353674214.5000000000
114 5 113142962.0000000000
114 12 113142962.0000000000
113 114 234855465.0000000000
113 96 347998427.0000000000
112 113 5675787.5000000000
111 112 120371580.5000000000
115 11 314116511.5000000000
115 46 314116511.5000000000
116 37 114681224.5000000000
116 47 114681224.5000000000
117 36 73823232.0000000000
117 53 73823232.0000000000
118 6 283760443.0000000000
118 55 283760443.0000000000
119 61 253204088.0000000000
121 18 2986784.0000000000
121 56 2986784.0000000000
120 121 246595174.0000000000
120 79 249581958.0000000000
119 120 3622130.0000000000
124 17 64624023.5000000000
124 76 64624023.5000000000
123 124 352967647.5000000000
125 22 159723119.5000000000
126 33 143292327.5000000000
128 16 60567272.0000000000
129 23 10798783.5000000000
129 34 10798783.5000000000
128 129 49768488.5000000000
127 128 25481588.0000000000
131 14 39116522.5000000000
131 84 39116522.5000000000
130 131 18215104.5000000000
130 32 57331627.0000000000
127 130 28717233.0000000000
126 127 57243467.5000000000
125 126 16430792.0000000000
123 125 257868551.5000000000
122 123 53550738.0000000000
122 65 471142409.0000000000
133 26 229120082.0000000000
133 91 229120082.0000000000
132 133 185823405.5000000000
134 8 305984642.5000000000
136 3 86811703.5000000000
136 67 86811703.5000000000
135 136 68449311.5000000000
135 41 155261015.0000000000
134 135 150723627.5000000000
132 134 108958845.0000000000
137 70 372134826.5000000000
137 73 372134826.5000000000
140 66 71416388.5000000000
140 81 71416388.5000000000
139 140 212234330.0000000000
141 74 124041899.5000000000
142 83 47407704.0000000000
142 87 47407704.0000000000
141 142 76634195.5000000000
139 141 159608819.0000000000
138 139 30963091.5000000000
138 100 314613810.0000000000
143 42 273345789.5000000000
143 88 273345789.5000000000
145 13 439808419.0000000000
145 77 439808419.0000000000
144 145 53193024.5000000000
144 94 493001443.5000000000
146 69 73948167.0000000000
147 78 51580802.0000000000
147 97 51580802.0000000000
146 147 22367365.0000000000
148 101 0.0000000000
148 2 499007125.5000000000
148 4 499007125.5000000000
148 7 499007125.5000000000
148 10 499007125.5000000000
148 15 499007125.5000000000
148 19 499007125.5000000000
148 20 499007125.5000000000
148 24 499007125.5000000000
148 27 499007125.5000000000
148 103 220016144.5000000000
148 30 499007125.5000000000
148 31 499007125.5000000000
148 104 12530398.5000000000
148 110 57581302.5000000000
148 111 24961330.5000000000
148 43 499007125.5000000000
148 44 499007125.5000000000
148 45 499007125.5000000000
148 115 184890614.0000000000
148 116 384325901.0000000000
148 49 499007125.5000000000
148 50 499007125.5000000000
148 51 499007125.5000000000
148 52 499007125.5000000000
148 117 425183893.5000000000
148 54 499007125.5000000000
148 118 215246682.5000000000
148 57 499007125.5000000000
148 59 499007125.5000000000
148 60 499007125.5000000000
148 119 245803037.5000000000
148 62 499007125.5000000000
148 63 499007125.5000000000
148 64 499007125.5000000000
148 122 27864716.5000000000
148 132 84063638.0000000000
148 68 499007125.5000000000
148 137 126872299.0000000000
148 71 499007125.5000000000
148 80 499007125.5000000000
148 138 184393315.5000000000
148 86 499007125.5000000000
148 143 225661336.0000000000
148 89 499007125.5000000000
148 90 499007125.5000000000
148 92 499007125.5000000000
148 93 499007125.5000000000
148 144 6005682.0000000000
148 95 499007125.5000000000
148 146 425058958.5000000000
148 98 499007125.5000000000
148 99 499007125.5000000000
