1192 1192
1001 27 257156754.7500000000
1001 34 257156754.7500000000
1003 33 23702473.7500000000
1003 336 23702473.7500000000
1003 570 23702473.7500000000
1002 1003 337760428.5000000000
1002 554 361462902.2500000000
1002 978 361462902.2500000000
1004 4 387141164.7500000000
1004 5 387141164.7500000000
1004 7 387141164.7500000000
1004 8 387141164.7500000000
1005 10 110238704.7500000000
1005 995 110238704.7500000000
1004 1005 276902460.0000000000
1006 12 0.0000000000
1006 765 0.0000000000
1004 1006 387141164.7500000000
1007 30 96054498.7500000000
1007 828 96054498.7500000000
1004 1007 291086666.0000000000
1008 35 0.0000000000
1008 164 0.0000000000
1008 868 0.0000000000
1004 1008 387141164.7500000000
1009 36 57826432.7500000000
1009 131 57826432.7500000000
1009 432 57826432.7500000000
1004 1009 329314732.0000000000
1004 38 387141164.7500000000
1004 44 387141164.7500000000
1004 47 387141164.7500000000
1004 48 387141164.7500000000
1004 52 387141164.7500000000
1004 53 387141164.7500000000
1004 54 387141164.7500000000
1004 56 387141164.7500000000
1004 61 387141164.7500000000
1004 65 387141164.7500000000
1004 66 387141164.7500000000
1004 77 387141164.7500000000
1004 81 387141164.7500000000
1004 84 387141164.7500000000
1004 87 387141164.7500000000
1010 92 49845081.2500000000
1010 385 49845081.2500000000
1010 433 49845081.2500000000
1004 1010 337296083.5000000000
1004 100 387141164.7500000000
1004 101 387141164.7500000000
1004 104 387141164.7500000000
1011 85 132907577.2500000000
1011 108 132907577.2500000000
1011 222 132907577.2500000000
1011 417 132907577.2500000000
1011 603 132907577.2500000000
1011 624 132907577.2500000000
1012 733 0.0000000000
1012 737 0.0000000000
1011 1012 132907577.2500000000
1011 774 132907577.2500000000
1004 1011 254233587.5000000000
1004 113 387141164.7500000000
1004 114 387141164.7500000000
1004 115 387141164.7500000000
1013 118 0.0000000000
1013 301 0.0000000000
1013 621 0.0000000000
1013 855 0.0000000000
1004 1013 387141164.7500000000
1014 120 67873905.2500000000
1014 689 67873905.2500000000
1004 1014 319267259.5000000000
1004 127 387141164.7500000000
1004 128 387141164.7500000000
1004 133 387141164.7500000000
1015 135 78544437.2500000000
1015 537 78544437.2500000000
1015 940 78544437.2500000000
1015 969 78544437.2500000000
1004 1015 308596727.5000000000
1004 139 387141164.7500000000
1016 143 0.0000000000
1016 619 0.0000000000
1004 1016 387141164.7500000000
1004 144 387141164.7500000000
1004 149 387141164.7500000000
1004 152 387141164.7500000000
1017 58 70257948.2500000000
1017 166 70257948.2500000000
1004 1017 316883216.5000000000
1004 167 387141164.7500000000
1004 168 387141164.7500000000
1004 169 387141164.7500000000
1004 176 387141164.7500000000
1018 182 0.0000000000
1018 847 0.0000000000
1004 1018 387141164.7500000000
1004 185 387141164.7500000000
1019 186 0.0000000000
1019 991 0.0000000000
1004 1019 387141164.7500000000
1004 191 387141164.7500000000
1004 200 387141164.7500000000
1004 203 387141164.7500000000
1020 211 0.0000000000
1020 347 0.0000000000
1020 357 0.0000000000
1020 876 0.0000000000
1020 931 0.0000000000
1004 1020 387141164.7500000000
1004 213 387141164.7500000000
1004 220 387141164.7500000000
1021 111 136320691.2500000000
1021 227 136320691.2500000000
1004 1021 250820473.5000000000
1022 231 141303381.7500000000
1022 766 141303381.7500000000
1022 810 141303381.7500000000
1004 1022 245837783.0000000000
1023 238 0.0000000000
1023 454 0.0000000000
1004 1023 387141164.7500000000
1024 239 0.0000000000
1024 874 0.0000000000
1004 1024 387141164.7500000000
1004 241 387141164.7500000000
1004 242 387141164.7500000000
1004 244 387141164.7500000000
1025 97 152528474.2500000000
1025 246 152528474.2500000000
1025 297 152528474.2500000000
1025 651 152528474.2500000000
1025 740 152528474.2500000000
1026 26 0.0000000000
1026 759 0.0000000000
1026 769 0.0000000000
1025 1026 152528474.2500000000
1025 842 152528474.2500000000
1004 1025 234612690.5000000000
1004 247 387141164.7500000000
1027 249 62554780.2500000000
1027 665 62554780.2500000000
1027 912 62554780.2500000000
1004 1027 324586384.5000000000
1004 252 387141164.7500000000
1004 253 387141164.7500000000
1004 255 387141164.7500000000
1004 256 387141164.7500000000
1004 257 387141164.7500000000
1028 258 0.0000000000
1028 644 0.0000000000
1004 1028 387141164.7500000000
1004 260 387141164.7500000000
1004 267 387141164.7500000000
1004 272 387141164.7500000000
1029 275 26770870.2500000000
1029 596 26770870.2500000000
1004 1029 360370294.5000000000
1004 277 387141164.7500000000
1004 284 387141164.7500000000
1004 290 387141164.7500000000
1004 302 387141164.7500000000
1004 304 387141164.7500000000
1030 311 0.0000000000
1030 607 0.0000000000
1004 1030 387141164.7500000000
1031 314 82174607.2500000000
1031 885 82174607.2500000000
1004 1031 304966557.5000000000
1004 315 387141164.7500000000
1032 317 0.0000000000
1032 772 0.0000000000
1032 869 0.0000000000
1004 1032 387141164.7500000000
1004 324 387141164.7500000000
1004 327 387141164.7500000000
1033 173 152365250.2500000000
1033 330 152365250.2500000000
1033 358 152365250.2500000000
1033 544 152365250.2500000000
1033 581 152365250.2500000000
1004 1033 234775914.5000000000
1034 334 83277091.2500000000
1034 491 83277091.2500000000
1004 1034 303864073.5000000000
1035 90 71954682.7500000000
1035 261 71954682.7500000000
1035 338 71954682.7500000000
1004 1035 315186482.0000000000
1004 343 387141164.7500000000
1036 335 121162800.7500000000
1036 351 121162800.7500000000
1036 681 121162800.7500000000
1004 1036 265978364.0000000000
1004 352 387141164.7500000000
1004 355 387141164.7500000000
1037 9 148836343.2500000000
1037 146 148836343.2500000000
1037 208 148836343.2500000000
1037 286 148836343.2500000000
1037 319 148836343.2500000000
1037 360 148836343.2500000000
1038 431 0.0000000000
1038 827 0.0000000000
1037 1038 148836343.2500000000
1037 478 148836343.2500000000
1004 1037 238304821.5000000000
1004 363 387141164.7500000000
1039 369 153614329.7500000000
1039 373 153614329.7500000000
1004 1039 233526835.0000000000
