1002 1001
1001 2 500000000.0000000000
1001 3 500000000.0000000000
1001 4 500000000.0000000000
1001 5 500000000.0000000000
1001 6 500000000.0000000000
1001 7 500000000.0000000000
1001 8 500000000.0000000000
1001 9 500000000.0000000000
1001 10 500000000.0000000000
1001 11 500000000.0000000000
1001 12 500000000.0000000000
1001 13 500000000.0000000000
1001 14 500000000.0000000000
1001 15 500000000.0000000000
1001 16 500000000.0000000000
1001 17 500000000.0000000000
1001 18 500000000.0000000000
1001 19 500000000.0000000000
1001 20 500000000.0000000000
1001 21 500000000.0000000000
1001 22 500000000.0000000000
1001 23 500000000.0000000000
1001 24 500000000.0000000000
1001 25 500000000.0000000000
1001 26 500000000.0000000000
1001 27 500000000.0000000000
1001 28 500000000.0000000000
1001 29 500000000.0000000000
1001 30 500000000.0000000000
1001 31 500000000.0000000000
1001 32 500000000.0000000000
1001 33 500000000.0000000000
1001 34 500000000.0000000000
1001 35 500000000.0000000000
1001 36 500000000.0000000000
1001 37 500000000.0000000000
1001 38 500000000.0000000000
1001 39 500000000.0000000000
1001 40 500000000.0000000000
1001 41 500000000.0000000000
1001 42 500000000.0000000000
1001 43 500000000.0000000000
1001 44 500000000.0000000000
1001 45 500000000.0000000000
1001 46 500000000.0000000000
1001 47 500000000.0000000000
1001 48 500000000.0000000000
1001 49 500000000.0000000000
1001 50 500000000.0000000000
1001 51 500000000.0000000000
1001 52 500000000.0000000000
1001 53 500000000.0000000000
1001 54 500000000.0000000000
1001 55 500000000.0000000000
1001 56 500000000.0000000000
1001 57 500000000.0000000000
1001 58 500000000.0000000000
1001 59 500000000.0000000000
1001 60 500000000.0000000000
1001 61 500000000.0000000000
1001 62 500000000.0000000000
1001 63 500000000.0000000000
1001 64 500000000.0000000000
1001 65 500000000.0000000000
1001 66 500000000.0000000000
1001 67 500000000.0000000000
1001 68 500000000.0000000000
1001 69 500000000.0000000000
1001 70 500000000.0000000000
1001 71 500000000.0000000000
1001 72 500000000.0000000000
1001 73 500000000.0000000000
1001 74 500000000.0000000000
1001 75 500000000.0000000000
1001 76 500000000.0000000000
1001 77 500000000.0000000000
1001 78 500000000.0000000000
1001 79 500000000.0000000000
1001 80 500000000.0000000000
1001 81 500000000.0000000000
1001 82 500000000.0000000000
1001 83 500000000.0000000000
1001 84 500000000.0000000000
1001 85 500000000.0000000000
1001 86 500000000.0000000000
