1180 1180
1001 66 103772780.2500000000
1001 400 103772780.2500000000
1002 18 366018150.7500000000
1003 111 0.0000000000
1003 852 0.0000000000
1002 1003 366018150.7500000000
1004 174 0.0000000000
1004 919 0.0000000000
1005 180 352552765.2500000000
1005 270 352552765.2500000000
1006 206 0.0000000000
1006 597 0.0000000000
1007 259 361243064.2500000000
1008 282 51232195.7500000000
1008 585 51232195.7500000000
1007 1008 310010868.5000000000
1007 991 361243064.2500000000
1009 267 235670418.7500000000
1009 556 235670418.7500000000
1010 212 230211201.7500000000
1010 303 230211201.7500000000
1011 142 129147201.2500000000
1011 310 129147201.2500000000
1012 321 364518054.7500000000
1012 735 364518054.7500000000
1013 417 301684087.7500000000
1013 428 301684087.7500000000
1014 124 202458904.2500000000
1014 429 202458904.2500000000
1015 462 153677008.7500000000
1015 682 153677008.7500000000
1016 5 375214852.7500000000
1016 6 375214852.7500000000
1017 10 0.0000000000
1017 172 0.0000000000
1016 1017 375214852.7500000000
1016 15 375214852.7500000000
1018 17 67519924.7500000000
1018 209 67519924.7500000000
1016 1018 307694928.0000000000
1016 23 375214852.7500000000
1016 26 375214852.7500000000
1016 27 375214852.7500000000
1016 30 375214852.7500000000
1016 31 375214852.7500000000
1016 37 375214852.7500000000
1016 40 375214852.7500000000
1016 46 375214852.7500000000
1016 54 375214852.7500000000
1019 44 60328833.2500000000
1019 56 60328833.2500000000
1019 488 60328833.2500000000
1019 580 60328833.2500000000
1016 1019 314886019.5000000000
1020 58 0.0000000000
1020 331 0.0000000000
1016 1020 375214852.7500000000
1021 59 0.0000000000
1021 424 0.0000000000
1016 1021 375214852.7500000000
1022 60 0.0000000000
1022 923 0.0000000000
1016 1022 375214852.7500000000
1016 62 375214852.7500000000
1023 64 0.0000000000
1023 190 0.0000000000
1023 671 0.0000000000
1023 690 0.0000000000
1016 1023 375214852.7500000000
1016 67 375214852.7500000000
1024 69 87821251.2500000000
1024 123 87821251.2500000000
1024 183 87821251.2500000000
1024 390 87821251.2500000000
1016 1024 287393601.5000000000
1016 74 375214852.7500000000
1025 75 0.0000000000
1025 89 0.0000000000
1016 1025 375214852.7500000000
1016 76 375214852.7500000000
1016 77 375214852.7500000000
1026 79 105868928.2500000000
1026 276 105868928.2500000000
1026 725 105868928.2500000000
1026 842 105868928.2500000000
1016 1026 269345924.5000000000
1027 82 73958898.7500000000
1027 217 73958898.7500000000
1016 1027 301255954.0000000000
1028 84 20061961.2500000000
1028 109 20061961.2500000000
1016 1028 355152891.5000000000
1016 85 375214852.7500000000
1016 91 375214852.7500000000
1029 93 110100899.2500000000
1029 223 110100899.2500000000
1029 345 110100899.2500000000
1029 440 110100899.2500000000
1029 480 110100899.2500000000
1016 1029 265113953.5000000000
1030 95 0.0000000000
1030 670 0.0000000000
1016 1030 375214852.7500000000
1016 97 375214852.7500000000
1031 100 43766227.2500000000
1031 514 43766227.2500000000
1016 1031 331448625.5000000000
1016 102 375214852.7500000000
1032 72 0.0000000000
1032 104 0.0000000000
1032 131 0.0000000000
1032 465 0.0000000000
1032 589 0.0000000000
1032 820 0.0000000000
1016 1032 375214852.7500000000
1033 106 3416999.2500000000
1033 833 3416999.2500000000
1016 1033 371797853.5000000000
1016 107 375214852.7500000000
1016 110 375214852.7500000000
1016 115 375214852.7500000000
1016 118 375214852.7500000000
1034 119 95553469.7500000000
1034 243 95553469.7500000000
1016 1034 279661383.0000000000
1035 25 99761861.2500000000
1035 65 99761861.2500000000
1035 125 99761861.2500000000
1035 433 99761861.2500000000
1035 521 99761861.2500000000
1035 560 99761861.2500000000
1035 705 99761861.2500000000
1016 1035 275452991.5000000000
1036 9 34349461.2500000000
1036 129 34349461.2500000000
1016 1036 340865391.5000000000
1037 22 31377123.2500000000
1037 136 31377123.2500000000
1037 447 31377123.2500000000
