116 101
101 1 264082055.5000000000
101 2 264082055.5000000000
101 4 264082055.5000000000
101 5 264082055.5000000000
101 6 264082055.5000000000
101 7 264082055.5000000000
102 8 0.0000000000
102 17 0.0000000000
101 102 264082055.5000000000
101 9 264082055.5000000000
103 10 0.0000000000
103 11 0.0000000000
101 103 264082055.5000000000
104 12 0.0000000000
104 31 0.0000000000
101 104 264082055.5000000000
101 13 264082055.5000000000
105 15 0.0000000000
105 49 0.0000000000
101 105 264082055.5000000000
101 16 264082055.5000000000
101 18 264082055.5000000000
101 19 264082055.5000000000
101 20 264082055.5000000000
101 21 264082055.5000000000
101 22 264082055.5000000000
101 23 264082055.5000000000
101 27 264082055.5000000000
106 28 0.0000000000
106 63 0.0000000000
101 106 264082055.5000000000
101 29 264082055.5000000000
101 30 264082055.5000000000
101 32 264082055.5000000000
101 33 264082055.5000000000
101 34 264082055.5000000000
107 35 0.0000000000
107 56 0.0000000000
101 107 264082055.5000000000
101 36 264082055.5000000000
101 37 264082055.5000000000
101 38 264082055.5000000000
101 39 264082055.5000000000
101 40 264082055.5000000000
101 42 264082055.5000000000
108 43 0.0000000000
108 69 0.0000000000
108 96 0.0000000000
101 108 264082055.5000000000
101 45 264082055.5000000000
101 47 264082055.5000000000
101 48 264082055.5000000000
101 50 264082055.5000000000
101 51 264082055.5000000000
101 52 264082055.5000000000
101 53 264082055.5000000000
101 54 264082055.5000000000
101 55 264082055.5000000000
101 57 264082055.5000000000
101 58 264082055.5000000000
101 59 264082055.5000000000
109 24 0.0000000000
109 46 0.0000000000
109 60 0.0000000000
109 93 0.0000000000
101 109 264082055.5000000000
101 61 264082055.5000000000
101 62 264082055.5000000000
101 64 264082055.5000000000
110 66 0.0000000000
110 67 0.0000000000
101 110 264082055.5000000000
101 68 264082055.5000000000
101 70 264082055.5000000000
101 71 264082055.5000000000
101 72 264082055.5000000000
111 3 228936693.5000000000
111 14 228936693.5000000000
111 41 228936693.5000000000
111 44 228936693.5000000000
111 73 228936693.5000000000
111 80 228936693.5000000000
101 111 35145362.0000000000
101 74 264082055.5000000000
101 76 264082055.5000000000
101 77 264082055.5000000000
112 75 0.0000000000
112 78 0.0000000000
112 87 0.0000000000
101 112 264082055.5000000000
101 79 264082055.5000000000
101 82 264082055.5000000000
101 83 264082055.5000000000
101 84 264082055.5000000000
101 85 264082055.5000000000
114 65 0.0000000000
114 81 0.0000000000
113 114 259239062.5000000000
113 86 259239062.5000000000
101 113 4842993.0000000000
101 88 264082055.5000000000
101 89 264082055.5000000000
101 90 264082055.5000000000
115 25 0.0000000000
115 91 0.0000000000
115 94 0.0000000000
101 115 264082055.5000000000
101 92 264082055.5000000000
101 95 264082055.5000000000
101 97 264082055.5000000000
101 98 264082055.5000000000
101 99 264082055.5000000000
116 26 0.0000000000
116 100 0.0000000000
101 116 264082055.5000000000
