1001 1001
1001 1 0.5000000000
1001 2 0.5000000000
1001 3 0.5000000000
1001 4 0.5000000000
1001 5 0.5000000000
1001 6 0.5000000000
1001 7 0.5000000000
1001 8 0.5000000000
1001 9 0.5000000000
1001 10 0.5000000000
1001 11 0.5000000000
1001 12 0.5000000000
1001 13 0.5000000000
1001 14 0.5000000000
1001 15 0.5000000000
1001 16 0.5000000000
1001 17 0.5000000000
1001 18 0.5000000000
1001 19 0.5000000000
1001 20 0.5000000000
1001 21 0.5000000000
1001 22 0.5000000000
1001 23 0.5000000000
1001 24 0.5000000000
1001 25 0.5000000000
1001 26 0.5000000000
1001 27 0.5000000000
1001 28 0.5000000000
1001 29 0.5000000000
1001 30 0.5000000000
1001 31 0.5000000000
1001 32 0.5000000000
1001 33 0.5000000000
1001 34 0.5000000000
1001 35 0.5000000000
1001 36 0.5000000000
1001 37 0.5000000000
1001 38 0.5000000000
1001 39 0.5000000000
1001 40 0.5000000000
1001 41 0.5000000000
1001 42 0.5000000000
1001 43 0.5000000000
1001 44 0.5000000000
1001 45 0.5000000000
1001 46 0.5000000000
1001 47 0.5000000000
1001 48 0.5000000000
1001 49 0.5000000000
1001 50 0.5000000000
1001 51 0.5000000000
1001 52 0.5000000000
1001 53 0.5000000000
1001 54 0.5000000000
1001 55 0.5000000000
1001 56 0.5000000000
1001 57 0.5000000000
1001 58 0.5000000000
1001 59 0.5000000000
1001 60 0.5000000000
1001 61 0.5000000000
1001 62 0.5000000000
1001 63 0.5000000000
1001 64 0.5000000000
1001 65 0.5000000000
1001 66 0.5000000000
1001 67 0.5000000000
1001 68 0.5000000000
1001 69 0.5000000000
1001 70 0.5000000000
1001 71 0.5000000000
1001 72 0.5000000000
1001 73 0.5000000000
1001 74 0.5000000000
1001 75 0.5000000000
1001 76 0.5000000000
1001 77 0.5000000000
1001 78 0.5000000000
1001 79 0.5000000000
1001 80 0.5000000000
1001 81 0.5000000000
1001 82 0.5000000000
1001 83 0.5000000000
1001 84 0.5000000000
1001 85 0.5000000000
1001 86 0.5000000000
1001 87 0.5000000000
1001 88 0.5000000000
1001 89 0.5000000000
1001 90 0.5000000000
1001 91 0.5000000000
1001 92 0.5000000000
1001 93 0.5000000000
1001 94 0.5000000000
1001 95 0.5000000000
1001 96 0.5000000000
1001 97 0.5000000000
1001 98 0.5000000000
1001 99 0.5000000000
1001 100 0.5000000000
1001 101 0.5000000000
1001 102 0.5000000000
1001 103 0.5000000000
1001 104 0.5000000000
1001 105 0.5000000000
1001 106 0.5000000000
1001 107 0.5000000000
1001 108 0.5000000000
1001 109 0.5000000000
1001 110 0.5000000000
1001 111 0.5000000000
1001 112 0.5000000000
1001 113 0.5000000000
1001 114 0.5000000000
1001 115 0.5000000000
1001 116 0.5000000000
1001 117 0.5000000000
1001 118 0.5000000000
1001 119 0.5000000000
1001 120 0.5000000000
1001 121 0.5000000000
1001 122 0.5000000000
1001 123 0.5000000000
1001 124 0.5000000000
1001 125 0.5000000000
1001 126 0.5000000000
1001 127 0.5000000000
1001 128 0.5000000000
1001 129 0.5000000000
1001 130 0.5000000000
1001 131 0.5000000000
1001 132 0.5000000000
1001 133 0.5000000000
1001 134 0.5000000000
1001 135 0.5000000000
1001 136 0.5000000000
1001 137 0.5000000000
1001 138 0.5000000000
1001 139 0.5000000000
1001 140 0.5000000000
1001 141 0.5000000000
1001 142 0.5000000000
1001 143 0.5000000000
1001 144 0.5000000000
1001 145 0.5000000000
1001 146 0.5000000000
1001 147 0.5000000000
1001 148 0.5000000000
1001 149 0.5000000000
1001 150 0.5000000000
1001 151 0.5000000000
1001 152 0.5000000000
1001 153 0.5000000000
1001 154 0.5000000000
1001 155 0.5000000000
1001 156 0.5000000000
1001 157 0.5000000000
1001 158 0.5000000000
1001 159 0.5000000000
1001 160 0.5000000000
1001 161 0.5000000000
1001 162 0.5000000000
1001 163 0.5000000000
1001 164 0.5000000000
1001 165 0.5000000000
1001 166 0.5000000000
1001 167 0.5000000000
